Baslik,Bellek,Disk.HDD,Disk.SSD,Ekran Boyutu,Fiyat,Foto,Islemci,Isletim Sistemi,Link,Marka,Model,Puan,Site
"Casper Nirvana S500.1135-4P00T-G-F Intel Core i5 1135G7 4GB 250GB SSD Windows 11 Home 15.6"" FHD Taşınabilir Bilgisayar ",4 GB,Yok,250 GB,"15,6 inç",9.598,https://productimages.hepsiburada.net/s/283/550/110000271206677.jpg,Intel Core i5 1135G7,Windows 11 Home,https://www.hepsiburada.com/casper-nirvana-s500-1135-4p00t-g-f-intel-core-i5-1135g7-4gb-250gb-ssd-windows-11-home-15-6-fhd-tasinabilir-bilgisayar-p-HBCV000017G4PO,Casper,NIRVANA S500.1135-4P00T-G-F,"4,6",Hepsiburada
"Dell Inspiron 3511 Intel Core i3 1115G4 8GB 256GB SSD 15.6"" FHD Ubuntu Taşınabilir Bilgisayar FB11F82N ",8 GB,Yok,256 GB,"15,6 inç",10.998,https://productimages.hepsiburada.net/s/173/550/110000136542954.jpg,Intel Core i3 1115G4,Ubuntu,https://www.hepsiburada.com/dell-inspiron-3511-intel-core-i3-1115g4-8gb-256gb-ssd-15-6-fhd-ubuntu-tasinabilir-bilgisayar-fb11f82n-p-HBCV00001ESPHR,Dell,INSPIRON 3511,"4,7",Hepsiburada
"Huawei Matebook D15 Intel Core i7 1165G7 16GB 512GB SSD Windows 11 Home 15.6"" Taşınabilir Bilgisayar ",16 GB,Yok,512 GB,"15,6 inç",21.533,https://productimages.hepsiburada.net/s/176/550/110000140392348.jpg,Intel Core i7 1165G7,Windows 11 Home,https://www.hepsiburada.com/huawei-matebook-d15-intel-core-i7-1165g7-16gb-512gb-ssd-windows-11-home-15-6-tasinabilir-bilgisayar-p-HBCV00001GBB0E,Huawei,MATEBOOK D15,"4,8",Hepsiburada
Fujitsu Lifebook Intel Core I5 - 1035G1 8gb 480 GB 15.6 W10HOME A351091 ,8 GB,Yok,480 GB,"15,6 inç",10.475,https://productimages.hepsiburada.net/s/228/550/110000209250124.jpg,Intel Core i5 1035G1,Windows 10 Home,https://www.hepsiburada.com/fujitsu-lifebook-intel-core-i5-1035g1-8gb-480-gb-15-6-w10home-a351091-p-HBCV00002C6142,Fujitsu,LIFEBOOK,0,Hepsiburada
"Casper Excalibur G770.1140-8EL0T-B Intel Core i5 11400H 8GB 500GB SSD RTX3050Ti Windows 11 Home 15.6"" Taşınabilir Bilgisayar ",8 GB,Yok,500 GB,"15,6 inç",22.679,https://productimages.hepsiburada.net/s/241/550/110000225490826.jpg,Intel Core i5 11400H,Windows 11 Home,https://www.hepsiburada.com/casper-excalibur-g770-1140-8el0t-b-intel-core-i5-11400h-8gb-500gb-ssd-rtx3050ti-windows-11-home-15-6-tasinabilir-bilgisayar-p-HBCV00001D8UF8,Casper,EXCALIBUR G770.1140-8EL0T-B,"4,4",Hepsiburada
"Casper Nirvana C350.4000-4W00B Intel Celeron N4000 4GB 120GB SSD Windows 11 Home 14"" HD Taşınabilir Bilgisayar ",4 GB,Yok,120 GB,14 inç,5.749,https://productimages.hepsiburada.net/s/159/550/110000117260963.jpg,Intel Celeron N4000,Windows 11 Home,https://www.hepsiburada.com/casper-nirvana-c350-4000-4w00b-intel-celeron-n4000-4gb-120gb-ssd-windows-11-home-14-hd-tasinabilir-bilgisayar-p-HBCV000017FWLW,Casper,NIRVANA C350.4000-4W00B,"4,3",Hepsiburada
"Asus X509FA-BR951T Intel Core i3 10110U 4GB 256GB SSD Windows 10 Home 15.6"" Taşınabilir Bilgisayar ",4 GB,Yok,256 GB,"15,6 inç",6.998,https://productimages.hepsiburada.net/s/174/550/110000137999718.jpg,Intel Core i3 10110U,Windows 10 Home,https://www.hepsiburada.com/asus-x509fa-br951t-intel-core-i3-10110u-4gb-256gb-ssd-windows-10-home-15-6-tasinabilir-bilgisayar-p-HBCV000008SRHY,Asus,X509FA-BR951T,"4,8",Hepsiburada
"Lenovo IdeaPad Gaming 3 AMD Ryzen 7 5800H 16GB 512GB SSD RTX3050Ti Freedos 15.6"" FHD Taşınabilir Bilgisayar 82K200JWTX ",16 GB,Yok,512 GB,"15,6 inç",22.998,https://productimages.hepsiburada.net/s/236/550/110000219767419.jpg,AMD Ryzen 7 5800H,FreeDos,https://www.hepsiburada.com/lenovo-ideapad-gaming-3-amd-ryzen-7-5800h-16gb-512gb-ssd-rtx3050ti-freedos-15-6-fhd-tasinabilir-bilgisayar-82k200jwtx-p-HBCV00000BDM22,Lenovo,IDEAPAD GAMING 3,"4,4",Hepsiburada
"Asus TUF Gaming FX506LH-HN004 Intel Core i5 10300H 8GB 512GB SSD GTX1650 Freedos 15.6"" FHD Taşınabilir Bilgisayar ",8 GB,Yok,512 GB,"15,6 inç",18.699,https://productimages.hepsiburada.net/s/86/550/110000028846421.jpg,Intel Core i5 10300H,FreeDos,https://www.hepsiburada.com/asus-tuf-gaming-fx506lh-hn004-intel-core-i5-10300h-8gb-512gb-ssd-gtx1650-freedos-15-6-fhd-tasinabilir-bilgisayar-p-HBCV000008SRHQ,Asus,TUF GAMING FX506LH-HN004,"4,7",Hepsiburada
"Casper Nirvana C500.1135-8V00X-G-F Intel Core i5 1135G7 8GB 500GB SSD Freedos 15.6"" Taşınabilir Bilgisayar ",8 GB,Yok,500 GB,"15,6 inç",12.199,https://productimages.hepsiburada.net/s/278/550/110000264991210.jpg,Intel Core i5 1135G7,FreeDos,https://www.hepsiburada.com/casper-nirvana-c500-1135-8v00x-g-f-intel-core-i5-1135g7-8gb-500gb-ssd-freedos-15-6-tasinabilir-bilgisayar-p-HBCV00002V3ROS,Casper,NIRVANA C500.1135-8V00X-G-F,0,Hepsiburada
"Asus TUF Gaming FA506ICB-HN105W AMD Ryzen 5 4600H 8GB 512GB SSD RTX3050 Windows 11 Home 15.6"" FHD 144Hz Taşınabilir Bilgisayar ",8 GB,Yok,512 GB,"15,6 inç",18.399,https://productimages.hepsiburada.net/s/265/550/110000249866226.jpg,AMD Ryzen 5 4600H,Windows 11 Home,https://www.hepsiburada.com/asus-tuf-gaming-fa506icb-hn105w-amd-ryzen-5-4600h-8gb-512gb-ssd-rtx3050-windows-11-home-15-6-fhd-144hz-tasinabilir-bilgisayar-p-HBCV00002EHL2C,Asus,TUF GAMING FA506ICB-HN105W,"1,0",Hepsiburada
"Asus X515FA-EJ045 Intel Core i5 10210U 8GB 256GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar ",8 GB,Yok,256 GB,"15,6 inç",12.9,https://productimages.hepsiburada.net/s/186/550/110000151195803.jpg,Intel Core i5 10210U,FreeDos,https://www.hepsiburada.com/asus-x515fa-ej045-intel-core-i5-10210u-8gb-256gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-p-HBCV00001QO5RH,Asus,X515FA-EJ045,"4,7",Hepsiburada
"Acer Nitro 5 AN515-45 AMD Ryzen 5 5600H 16GB 512GB SSD RTX3060 Freedos 15.6"" FHD 144Hz Taşınabilir Bilgisayar NH.QBCEY.005 ",16 GB,Yok,512 GB,"15,6 inç",24.449,https://productimages.hepsiburada.net/s/108/550/110000051302138.jpg,AMD Ryzen 5 5600H,FreeDos,https://www.hepsiburada.com/acer-nitro-5-an515-45-amd-ryzen-5-5600h-16gb-512gb-ssd-rtx3060-freedos-15-6-fhd-144hz-tasinabilir-bilgisayar-nh-qbcey-005-p-HBCV00000I8S7S,Acer,NITRO 5 AN515-45,"4,7",Hepsiburada
"MSI Modern 15 A11MU-839XTR Intel Core i5 1155G7 8GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar ",8 GB,Yok,512 GB,"15,6 inç",13.599,https://productimages.hepsiburada.net/s/139/550/110000091575803.jpg,Intel Core i5 1155G7,FreeDos,https://www.hepsiburada.com/msi-modern-15-a11mu-839xtr-intel-core-i5-1155g7-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-p-HBCV00000ZAY8H,MSI,MODERN 15 A11MU-839XTR,"4,6",Hepsiburada
"Acer Aspire 5 A515 45 AMD Ryzen 5 5500U 20 GB 1 TB SSD Linux 15.6"" FHD Taşınabilir Bilgisayar NXA7YEY00107 ",20 GB,Yok,1 TB,"15,6 inç",14.993,https://productimages.hepsiburada.net/s/279/550/110000266082578.jpg,AMD Ryzen 5 5500U,Linux,https://www.hepsiburada.com/acer-aspire-5-a515-45-amd-ryzen-5-5500u-20-gb-1-tb-ssd-linux-15-6-fhd-tasinabilir-bilgisayar-nxa7yey00107-p-HBCV00002VNN96,Acer,ASPIRE 5 A515 45,0,Hepsiburada
"Dell Inspiron 15 3511 Intel Core i5 1135G7 8GB 256GB SSD 15.6"" FHD Ubuntu I3511122SPPU Taşınabilir Bilgisayar ",8 GB,Yok,256 GB,"15,6 inç",11.498,https://productimages.hepsiburada.net/s/223/550/110000202494983.jpg,Intel Core i5 1135G7,Ubuntu,https://www.hepsiburada.com/dell-inspiron-15-3511-intel-core-i5-1135g7-8gb-256gb-ssd-15-6-fhd-ubuntu-i3511122sppu-tasinabilir-bilgisayar-p-HBCV000029B72O,Dell,INSPIRON 15 3511,"5,0",Hepsiburada
"Lenovo IdeaPad 3 AMD Ryzen 7 5700U 8GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 82KU00VNTX ",8 GB,Yok,512 GB,"15,6 inç",11.499,https://productimages.hepsiburada.net/s/258/550/110000241569662.jpg,AMD Ryzen 7 5700U,FreeDos,https://www.hepsiburada.com/lenovo-ideapad-3-amd-ryzen-7-5700u-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82ku00vntx-p-HBCV000021REF9,Lenovo,IDEAPAD 3,"4,6",Hepsiburada
"Asus Expertbook B1500CEAE Intel Core I7 1165G7 8gb 2tb SSD 15,6"" Fhd WINDOWS11PROTAŞINABILIR Bilgisayar BQ170027 ",8 GB,Yok,2 TB,"15,6 inç",21.951,https://productimages.hepsiburada.net/s/299/550/110000289467833.jpg,Intel Core i7 1165G7,Windows 11 Pro,https://www.hepsiburada.com/asus-expertbook-b1500ceae-intel-core-i7-1165g7-8gb-2tb-ssd-15-6-fhd-windows11protasinabilir-bilgisayar-bq170027-p-HBCV000032NMUF,Asus,EXPERTBOOK B1500CEAE,0,Hepsiburada
Acer Aspire 3 A315-56-327T Intel Core i3 1005G1 8GB 256GB SSD Linux 15.6'' FHD Taşınabilir Bilgisayar NX.HS5EY.006 ,8 GB,Yok,256 GB,"15,6 inç",6.998,https://productimages.hepsiburada.net/s/273/550/110000258934394.jpg,Intel Core i3 1005G1,Linux,https://www.hepsiburada.com/acer-aspire-3-a315-56-327t-intel-core-i3-1005g1-8gb-256gb-ssd-linux-15-6-fhd-tasinabilir-bilgisayar-nx-hs5ey-006-p-HBCV00001RXCMA,Acer,ASPIRE 3 A315-56-327T,"4,6",Hepsiburada
"Casper Excalibur G770.1140-BVL0X-B Intel Core i5 11400H 16GB 500GB SSD RTX3050TI Freedos 15.6"" FHD Taşınabilir Bilgisayar ",16 GB,Yok,500 GB,"15,6 inç",20.81,https://productimages.hepsiburada.net/s/181/550/110000145985112.jpg,Intel Core i5 11400H,FreeDos,https://www.hepsiburada.com/casper-excalibur-g770-1140-bvl0x-b-intel-core-i5-11400h-16gb-500gb-ssd-rtx3050ti-freedos-15-6-fhd-tasinabilir-bilgisayar-p-HBCV00000B7X1D,Casper,EXCALIBUR G770.1140-BVL0X-B,"4,7",Hepsiburada
"HP Pavilion Gaming 15-DK2079NT Intel Core i7 11370H 16GB 512GB SSD RTX3050Ti Freedos 15.6"" IPS FHD Taşınabilir Bilgisayar 68N54EA ",16 GB,Yok,512 GB,"15,6 inç",19.999,https://productimages.hepsiburada.net/s/279/550/110000266002967.jpg,Intel Core i7 11370H,FreeDos,https://www.hepsiburada.com/hp-pavilion-gaming-15-dk2079nt-intel-core-i7-11370h-16gb-512gb-ssd-rtx3050ti-freedos-15-6-ips-fhd-tasinabilir-bilgisayar-68n54ea-p-HBCV00002JH4B3,HP,PAVILION GAMING 15-DK2079NT,"4,7",Hepsiburada
"Asus Tuf Gaming F15 FX506LHB-HN348 Intel Core I5 10300H 8 GB 512 GB SSD Gtx 1650 144 Hz Freedos 15.6"" Fhd Taşınabilir Bilgisayar ",8 GB,Yok,512 GB,"15,6 inç",14.989,https://productimages.hepsiburada.net/s/274/550/110000259769021.jpg,Intel Core i5 10300H,FreeDos,https://www.hepsiburada.com/asus-tuf-gaming-f15-fx506lhb-hn348-intel-core-i5-10300h-8-gb-512-gb-ssd-gtx-1650-144-hz-freedos-15-6-fhd-tasinabilir-bilgisayar-p-HBCV00002SQX6P,Asus,TUF GAMING F15 FX506LHB-HN348,"4,7",Hepsiburada
Asus Expertbook P1412CEA-EK0031 i5-1135G7 8GB 256GB SSD Intel® UHD Graphics 14” Full HD Freedos Taşınabilir Bilgisayar ,8 GB,Yok,256 GB,14 inç,10.34,https://productimages.hepsiburada.net/s/294/550/110000283793812.jpg,Intel Core i5 1135G7,FreeDos,https://www.hepsiburada.com/asus-expertbook-p1412cea-ek0031-i5-1135g7-8gb-256gb-ssd-intel-uhd-graphics-14-full-hd-freedos-tasinabilir-bilgisayar-p-HBCV00002EJW7R,Asus,EXPERTBOOK P1412CEA-EK0031 ,"4,9",Hepsiburada
"Monster Abra A5 V18.1.3 Intel Core i7-11800H 16GB RAM 500GB SSD 4GB RTX3050 FreeDOS 15.6"" FHD 144Hz Oyun Bilgisayarı ",16 GB,Yok,500 GB,"15,6 inç",20.187,https://productimages.hepsiburada.net/s/274/550/110000260906933.jpg,Intel Core i7 11800H,FreeDos,https://www.hepsiburada.com/monster-abra-a5-v18-1-3-intel-core-i7-11800h-16gb-ram-500gb-ssd-4gb-rtx3050-freedos-15-6-fhd-144hz-oyun-bilgisayari-p-HBCV00000IIG45,Monster,ABRA A5 V18.1.3,"4,7",Hepsiburada
"Lenovo Ideapad Gaming 3  Intel Core i7 11390H 16GB 512GB SSD Rtx 3050TI Freedos 15.6"" FHD Taşınabilir Bilgisayar 82K100KDTX ",16 GB,Yok,512 GB,"15,6 inç",28.999,https://productimages.hepsiburada.net/s/195/550/110000163980973.jpg,Intel Core i7 11390H,FreeDos,https://www.hepsiburada.com/lenovo-ideapad-gaming-3-intel-core-i7-11390h-16gb-512gb-ssd-rtx-3050ti-freedos-15-6-fhd-tasinabilir-bilgisayar-82k100kdtx-p-HBCV00001VQ5V3,Lenovo,IDEAPAD GAMING 3 ,"4,7",Hepsiburada
HP Pavilion 68N67EA 15-EC2051NT AMD Ryzen 7 5800H 16GB RTX3050Ti 512GB SSD 144 Hz FHD 15.6″ Freedos Gaming Notebook ,16 GB,Yok,512 GB,"15,6 inç",19.599,https://productimages.hepsiburada.net/s/211/550/110000188587451.jpg,AMD Ryzen 7 5800H,FreeDos,https://www.hepsiburada.com/hp-pavilion-68n67ea-15-ec2051nt-amd-ryzen-7-5800h-16gb-rtx3050ti-512gb-ssd-144-hz-fhd-15-6-freedos-gaming-notebook-p-HBCV000022O86J,HP,PAVILION 68N67EA 15-EC2051NT,"4,8",Hepsiburada
Asus Expertbook P1412CEA-EB0032 I5-1135G7 8GB 256GB SSD Intel Iris Xᵉ Graphics 14” Full HD Freedos Taşınabilir Bilgisayar ,8 GB,Yok,256 GB,14 inç,11.0,https://productimages.hepsiburada.net/s/294/550/110000283793813.jpg,Intel Core i5 1135G7,FreeDos,https://www.hepsiburada.com/asus-expertbook-p1412cea-eb0032-i5-1135g7-8gb-256gb-ssd-intel-iris-x-graphics-14-full-hd-freedos-tasinabilir-bilgisayar-p-HBCV00002Z4SBL,Asus,EXPERTBOOK P1412CEA-EB0032 ,"4,0",Hepsiburada
"Acer Gaming Aspire 7 A715 42G AMD Ryzen 5 5500U 8 GB 512 GB SSD RTX3050 Freedos 15.6"" FHD Taşınabilir Bilgisayar NH.QE5EY.004 ",8 GB,Yok,512 GB,"15,6 inç",16.449,https://productimages.hepsiburada.net/s/232/550/110000214754975.jpg,AMD Ryzen 5 5500U,FreeDos,https://www.hepsiburada.com/acer-gaming-aspire-7-a715-42g-amd-ryzen-5-5500u-8-gb-512-gb-ssd-rtx3050-freedos-15-6-fhd-tasinabilir-bilgisayar-nh-qe5ey-004-p-HBCV00002EG8TH,Acer,GAMING ASPIRE 7 A715 42G,"4,5",Hepsiburada
"Huawei Matebook D15 AMD Ryzen 5 5500U 8GB 512GB SSD Windows 11 Home 15.6"" FHD Taşınabilir Bilgisayar ",8 GB,Yok,512 GB,"15,6 inç",14.399,https://productimages.hepsiburada.net/s/170/550/110000132694460.jpg,AMD Ryzen 5 5500U,Windows 11 Home,https://www.hepsiburada.com/huawei-matebook-d15-amd-ryzen-5-5500u-8gb-512gb-ssd-windows-11-home-15-6-fhd-tasinabilir-bilgisayar-p-HBCV00001D68DN,Huawei,MATEBOOK D15,"4,6",Hepsiburada
"Lenovo V15 Intel Core i5 10210U 8GB 512GB SSD MX330 15.6"" FHD Windows 10 Home Taşınabilir Bilgisayar 82NB003GTX ",8 GB,Yok,512 GB,"15,6 inç",11.99,https://productimages.hepsiburada.net/s/251/550/110000233748628.jpg,Intel Core i5 10210U,Windows 10 Home,https://www.hepsiburada.com/lenovo-v15-intel-core-i5-10210u-8gb-512gb-ssd-mx330-15-6-fhd-windows-10-home-tasinabilir-bilgisayar-82nb003gtx-p-HBCV00002KOPVF,Lenovo,V15,"4,5",Hepsiburada
"Lenovo 82KB00HVTX V15 G2 ITL i5-1135G7 8GB 1TB + 128GB SSD 15.6"" FHD Windows10 Home + Microsoft 365 Bireysel 1 Yıl 1 Kullanıcı",8 GB,1 TB,128 GB,"15,6 inç",10.999,https://productimages.hepsiburada.net/s/271/550/110000256278839.jpg,Intel Core i5 1135G7,Windows 10 Home,https://www.hepsiburada.com/lenovo-v15-itl-gen2-intel-core-i5-1135g7-8gb-1tb-128gb-ssd-windows-10-home-15-6-fhd-tasinabilir-bilgisayar-82kb00hvtx-microsoft-365-bireysel-1-yil-p-HBCV00002SI1S2,Lenovo,V15 ITL GEN2,"4,9",Hepsiburada
"Lenovo 82C2006BTX Intel Celeron N4120 4GB Ram 256GB SSD 14"" Freedos Taşınabilir Bilgisayar ",4 GB,Yok,256 GB,14 inç,5.114,https://productimages.hepsiburada.net/s/200/550/110000172907278.jpg,Intel Celeron N4120,FreeDos,https://www.hepsiburada.com/lenovo-82c2006btx-intel-celeron-n4120-4gb-ram-256gb-ssd-14-freedos-tasinabilir-bilgisayar-p-HBCV00001ZL25W,Lenovo,82C2006BTX,"4,7",Hepsiburada
Dell G15 5511 Intel Core i7-11800H 8 GB Ram 512GB SSD 4gb RTX3050 15.6 Inç Fhd 120Hz G5TGLH1700U Taşınabilir Bilgisayar ,8 GB,Yok,512 GB,"15,6 inç",18.999,https://productimages.hepsiburada.net/s/293/550/110000282260826.jpg,Intel Core i7 11800H,Ubuntu,https://www.hepsiburada.com/dell-g15-5511-intel-core-i7-11800h-8-gb-ram-512gb-ssd-4gb-rtx3050-15-6-inc-fhd-120hz-g5tglh1700u-tasinabilir-bilgisayar-p-HBCV0000309F3T,Dell,G15 5511,"5,0",Hepsiburada
"MSI Bravo 15 B5DD-209XTR AMD Ryzen 7 5800H 16GB 1TB SSD RX5500M Freedos 15.6"" FHD Taşınabilir Bilgisayar ",16 GB,Yok,1 TB,"15,6 inç",24.429,https://productimages.hepsiburada.net/s/131/550/110000082171382.jpg,AMD Ryzen 7 5800H,FreeDos,https://www.hepsiburada.com/msi-bravo-15-b5dd-209xtr-amd-ryzen-7-5800h-16gb-1tb-ssd-rx5500m-freedos-15-6-fhd-tasinabilir-bilgisayar-p-HBCV00000UKI58,MSI,BRAVO 15 B5DD-209XTR,"4,7",Hepsiburada
"Acer Extensa EX215-54G Intel Core I5 1135G7 8 GB 512 GB SSD MX350 2 GB Freedos 15.6"" Fhd Taşınabilir Bilgisayar NX.EGHEY.003 ",8 GB,Yok,512 GB,"15,6 inç",10.599,https://productimages.hepsiburada.net/s/286/550/110000274844135.jpg,Intel Core i5 1135G7,FreeDos,https://www.hepsiburada.com/acer-extensa-ex215-54g-intel-core-i5-1135g7-8-gb-512-gb-ssd-mx350-2-gb-freedos-15-6-fhd-tasinabilir-bilgisayar-nx-eghey-003-p-HBCV00002SM00H,Acer,EXTENSA EX215-54G,"4,6",Hepsiburada
"Asus ROG Strix G513IC-HN037 AMD Ryzen 7 4800H 16GB 512GB SSD RTX3050 Freedos 15.6"" Taşınabilir Bilgisayar ",16 GB,Yok,512 GB,"15,6 inç",21.199,https://productimages.hepsiburada.net/s/205/550/110000180001405.jpg,AMD Ryzen 7 4800H,FreeDos,https://www.hepsiburada.com/asus-rog-strix-g513ic-hn037-amd-ryzen-7-4800h-16gb-512gb-ssd-rtx3050-freedos-15-6-tasinabilir-bilgisayar-p-HBCV00001E2066,Asus,ROG STRIX G513IC-HN037,"4,6",Hepsiburada
"Lenovo IdeaPad Gaming 3 Intel Core i5 11300H 16GB 512GB SSD RTX 3050Ti Freedos 15.6"" 165 Hz FHD Taşınabilir Bilgisayar 82K100CSTX ",16 GB,Yok,512 GB,"15,6 inç",19.998,https://productimages.hepsiburada.net/s/288/550/110000277635350.jpg,Intel Core i5 11300H,FreeDos,https://www.hepsiburada.com/lenovo-ideapad-gaming-3-intel-core-i5-11300h-16gb-512gb-ssd-rtx-3050ti-freedos-15-6-165-hz-fhd-tasinabilir-bilgisayar-82k100cstx-p-HBCV00000BDM1O,Lenovo,IDEAPAD GAMING 3,"4,7",Hepsiburada
"HP Pavilion 15-DK2085NT Intel Core i5 11300H 8GB 512GB SSD RTX3050 Freedos 15.6"" Taşınabilir Bilgisayar 68N60EA ",8 GB,Yok,512 GB,"15,6 inç",16.499,https://productimages.hepsiburada.net/s/280/550/110000267416700.jpg,Intel Core i5 11300H,FreeDos,https://www.hepsiburada.com/hp-pavilion-15-dk2085nt-intel-core-i5-11300h-8gb-512gb-ssd-rtx3050-freedos-15-6-tasinabilir-bilgisayar-68n60ea-p-HBCV00002VM38L,HP,PAVILION 15-DK2085NT,0,Hepsiburada
"Casper Excalibur G770.1140-BVH0X-B Intel Core i5 11400H 16GB 500GB SSD GTX1650 Freedos 15.6"" FHD Taşınabilir Bilgisayar ",16 GB,Yok,500 GB,"15,6 inç",18.17,https://productimages.hepsiburada.net/s/181/550/110000145985106.jpg,Intel Core i5 11400H,FreeDos,https://www.hepsiburada.com/casper-excalibur-g770-1140-bvh0x-b-intel-core-i5-11400h-16gb-500gb-ssd-gtx1650-freedos-15-6-fhd-tasinabilir-bilgisayar-p-HBCV000014CZQE,Casper,EXCALIBUR G770.1140-BVH0X-B,"4,1",Hepsiburada
"Lenovo ThinkBook 15 G3 ACL AMD Ryzen 7 5700U 16 GB 512 GB SSD 15.6"" FHD Taşınabilir Bilgisayar 21A40036TX ",16 GB,Yok,512 GB,"15,6 inç",13.299,https://productimages.hepsiburada.net/s/218/550/110000196422021.jpg,AMD Ryzen 7 5700U,FreeDos,https://www.hepsiburada.com/lenovo-thinkbook-15-g3-acl-amd-ryzen-7-5700u-16-gb-512-gb-ssd-15-6-fhd-tasinabilir-bilgisayar-21a40036tx-p-HBCV000015KNH2,Lenovo,THINKBOOK 15 G3 ACL,"4,8",Hepsiburada
"Lenovo V14 Intel Core i3 1115G4 4GB 1TB 14"" FHD Freedos Taşınabilir Bilgisayar 82KA001VTX ",4 GB,1 TB,1 TB,14 inç,8.399,https://productimages.hepsiburada.net/s/251/550/110000233331993.jpg,Intel Core i3 1115G4,FreeDos,https://www.hepsiburada.com/lenovo-v14-intel-core-i3-1115g4-4gb-1tb-14-fhd-freedos-tasinabilir-bilgisayar-82ka001vtx-p-HBCV00002KB210,Lenovo,V14,"5,0",Hepsiburada
"Acer Extensa EX215-54 Intel Core I5 1135G7 8 GB 512 GB SSD Freedos 15.6"" Fhd Taşınabilir Bilgisayar NX.EGJEY.005 ",8 GB,Yok,512 GB,"15,6 inç",10.499,https://productimages.hepsiburada.net/s/285/550/110000274527961.jpg,Intel Core i5 1135G7,FreeDos,https://www.hepsiburada.com/acer-extensa-ex215-54-intel-core-i5-1135g7-8-gb-512-gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-nx-egjey-005-p-HBCV00002SQNIQ,Acer,EXTENSA EX215-54,"4,4",Hepsiburada
Dell Inspiron 15 5515 Ryzen 5 5500U 8gb 512GB SSD 15.6 Windows 11 Home CYBORGN515AMD2201_102 ,8 GB,Yok,512 GB,"15,6 inç",10.559,https://productimages.hepsiburada.net/s/267/550/110000251709650.jpg,AMD Ryzen 5 5500U,Windows 11 Home,https://www.hepsiburada.com/dell-inspiron-15-5515-ryzen-5-5500u-8gb-512gb-ssd-15-6-windows-11-home-cyborgn515amd2201-102-p-HBCV00002R90RU,Dell,INSPIRON 15 5515 RYZEN,"5,0",Hepsiburada
"Lenovo V14 G2 ITL Intel Core i5 1135G7 8GB 256GB SSD MX350 Freedos 14"" FHD Taşınabilir Bilgisayar 82KA00ECTX ",8 GB,Yok,256 GB,14 inç,10.399,https://productimages.hepsiburada.net/s/265/550/110000249655771.jpg,Intel Core i5 1135G7,FreeDos,https://www.hepsiburada.com/lenovo-v14-g2-itl-intel-core-i5-1135g7-8gb-256gb-ssd-mx350-freedos-14-fhd-tasinabilir-bilgisayar-82ka00ectx-p-HBCV00001HFW6I,Lenovo,V14 G2 ITL,"4,6",Hepsiburada
"MSI GF63 Thin 11UC-616XTR Intel Core i7 11800H 8GB 512GB SSD RTX3050 Freedos 15.6"" FHD Taşınabilir Bilgisayar ",8 GB,Yok,512 GB,"15,6 inç",24.309,https://productimages.hepsiburada.net/s/179/550/110000143302073.jpg,Intel Core i7 11800H,FreeDos,https://www.hepsiburada.com/msi-gf63-thin-11uc-616xtr-intel-core-i7-11800h-8gb-512gb-ssd-rtx3050-freedos-15-6-fhd-tasinabilir-bilgisayar-p-HBCV00001DKXHK,MSI,GF63 THIN 11UC-616XTR,"4,7",Hepsiburada
"Lenovo IdeaPad 3 Intel Core i5 1135G7 8GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 82H8020BTX ",8 GB,Yok,512 GB,"15,6 inç",10.998,https://productimages.hepsiburada.net/s/154/550/110000110811035.jpg,Intel Core i5 1135G7,FreeDos,https://www.hepsiburada.com/lenovo-ideapad-3-intel-core-i5-1135g7-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82h8020btx-p-HBCV000014ZDCH,Lenovo,IDEAPAD 3,"4,8",Hepsiburada
"Asus ROG Strix G513IE-HN065 AMD Ryzen 7 4800H 16GB 512GB SSD RTX3050Ti Freedos 15.6"" Taşınabilir Bilgisayar ",16 GB,Yok,512 GB,"15,6 inç",22.998,https://productimages.hepsiburada.net/s/172/550/110000135127945.jpg,AMD Ryzen 7 4800H,FreeDos,https://www.hepsiburada.com/asus-rog-strix-g513ie-hn065-amd-ryzen-7-4800h-16gb-512gb-ssd-rtx3050ti-freedos-15-6-tasinabilir-bilgisayar-p-HBCV00001E2064,Asus,ROG STRIX G513IE-HN065,"4,6",Hepsiburada
"Asus Tuf Gaming F15 FX506LHB-HN345 İntel Core I5-10300H 8 GB  512GB SSD 4 GB GTX1650 144 Hz Freedos 15.6"" FHD Taşınabilir Bilgisayar ",8 GB,Yok,512 GB,"15,6 inç",14.999,https://productimages.hepsiburada.net/s/292/550/110000281454647.jpg,Intel Core i5 10300H,FreeDos,https://www.hepsiburada.com/asus-tuf-gaming-f15-fx506lhb-hn345-intel-core-i5-10300h-8-gb-512gb-ssd-4-gb-gtx1650-144-hz-freedos-15-6-fhd-tasinabilir-bilgisayar-p-HBCV00002ZXV88,Asus,TUF GAMING F15 FX506LHB-HN345,"5,0",Hepsiburada
